Table 8 Extreme value data of typical sunny temperature and solar radiation,,,,
,Temperature of energy storage wall,Outdoor air temperature,Indoor air temperature,Solar radiation power of greenhouse
,(¡æ),(¡æ),(¡æ),(W)
2021.1.1,45.8,7.9,53.9,509.9
2021.1.13,60.3,17.8,67.8,586.2
2021.1.14,57.9,20.5,65.3,558.8
,,,,
