no. of bundles     q_det     variance    rel.var.(%)
       1000000  0.9003E-03  0.1610E-03      17.89
       2000000  0.9382E-03  0.1109E-03      11.82
       4000000  0.8160E-03  0.8774E-04      10.75
       8000000  0.7927E-03  0.3710E-04       4.68
